Book Name,Book Author,Price,URL
Christmas Titles,Charles Dickens – Stereotype edition 1886/7,£700.00,https://rareandantiquebooks.com/first-edition-books/4-christmas-titles-dickens/
Master Humphrey’s Clock,Charles Dickens,"£1,050.00",https://rareandantiquebooks.com/first-edition-books/master-humphreys-clock-dickens/
ODTAA –,John Masefield,£390.00,https://rareandantiquebooks.com/first-edition-books/odtaa-john-masefield/
Around the World in Eighty Days,Jules Verne,"£1,050.00",https://rareandantiquebooks.com/first-edition-books/around-world-eighty-jules-verne/
Trouble with Litchen,John Wyndham,£145.00,https://rareandantiquebooks.com/first-edition-books/trouble-litchen-john-wyndham/
Three Men in a Boat / Bummel,Jerome K. Jerome,£650.00,https://rareandantiquebooks.com/first-edition-books/men-boat-bummel-jerome/
Portrait of the Artist,Dylan Thomas,£810.00,https://rareandantiquebooks.com/first-edition-books/portrait-artist-dog-thomas/
On Her Majesty’s Secret Service – Uncorrected Proof,Ian Fleming,"£1,800.00",https://rareandantiquebooks.com/first-edition-books/uncorrected-proof-ian-fleming/
The Thirty Nine Steps,John Buchan,£750.00,https://rareandantiquebooks.com/first-edition-books/thirty-nine-steps-buchan/
Two on a Tower,Thomas Hardy,"£4,050.00",https://rareandantiquebooks.com/first-edition-books/two-tower-thomas-hardy-2/
Five Weeks in a Balloon,Jules Verne,£280.00,https://rareandantiquebooks.com/first-edition-books/five-weeks-balloon-jules-verne-2/
Five Get Into Trouble,Enid Blyton,£95.00,https://rareandantiquebooks.com/first-edition-books/five-trouble-enid-blyton/
Little Mexican,Aldous Huxley,£80.00,https://rareandantiquebooks.com/first-edition-books/little-mexican-aldous-huxley/
The Wind in the Willows,Kenneth Grahame,£890.00,https://rareandantiquebooks.com/first-edition-books/wind-willows-kenneth-grahame/
Monday or Tuesday,Virginia Woolf,"£1,850.00",https://rareandantiquebooks.com/first-edition-books/tuesday-virginia-woolf/
The Exploration of the World,Jules Verne,£280.00,https://rareandantiquebooks.com/first-edition-books/exploration-world-jules-verne/
A Floating City,Jules Verne,£690.00,https://rareandantiquebooks.com/first-edition-books/floating-city-jules-verne/
The Will of an Eccentric,Jules Verne,£395.00,https://rareandantiquebooks.com/first-edition-books/will-eccentric-jules-verne/
Ginger & Pickles,Beatrix Potter,£650.00,https://rareandantiquebooks.com/first-edition-books/ginger-pickles-beatrix-potter/
